tag	name	qtype	utc	bool	note
Account	account	s	0	0	Account, e.g. MINKBROOK, BTIG_jblair@BTIG.US
AlgoPhase	phase	s	0	0	Phase1, Phase2, Phase3, Rest, Rest_FullLot, Rest_OddLot, Take, Take_FullLot, Take_OddLot
AlgoStyle	style	s	0	0	A_10, A_3, A_5, A_6, A_7, A_8, A_10, Aggressive, Moderate, Normal, Opportunistic, Passive, Ultra
AlgoTags	tags	*	0	0	None TradingUrgency VolatilitySensitivity, TradingUrgency VolatilitySensitivity VolatilitySensitivity, RampUp
AlgoType	alg	s	0	0	CLOSE,DARK,JACKSNIPE,PARTICIPATE,RAVEN,SMALLCAP,TWAP,VWAP
COActive	coactive	s	0	1	True/False
CloseAlgoStyle	closestyle	s	0	0	Moderate, Aggressive, Passive, VeryPassive
CloseMaxRateInstruction	closemax	f	0	0	
CloseQuantityInstruction	closeq	j	0	0	
CloseTargetRateInstruction	closetarget	f	0	0	
CurveProfileName	curve	s	0	0	SWN[10-15]
CycleCO	cycleco	s	0	1	True/False
CycleDA	cycleda	s	0	1	True/False
DAActive	daflag	s	0	1	True/False
DGCOrderSize	sizes	*	0	0	String like '500:0.25|600:0.25|750:0.25|1000:0.25' -> 500 600 750 1000 
DMaxSinglePrice	dmaxsingleprice	f	0	0	Typically 0.5
DPullBackReduction	dpullback	f	0	0	Typically 0.5
DTargetPartRate	dtargetpov	f	0	0	
DerivedLimit	derivedlimit	f	0	0	
Destination	dest	s	0	0	Destination, e.g. GSECLL ARCA, GSEC SOR, CITADEL SMART
EventTrigger	trigger	s	0	0	Trigger, e.g. ClientInput, ScheduleStop, TrinityEvent, UnsolicitedCancel, VwapSchedule
EventType	event	s	0	0	Event, e.g. NewOrder, Cancle, Replace, ParentOrderChange
ExchangeSymbol	symbol	s	0	0	
ExecID	fillid	*	0	0	
ExecutionPrice	fillprice	f	0	0	
ExecutionQty	fillqty	j	0	0	
